Disease Name,File Name,Keywords
Melanoma,melanoma_torso_severe_brown ,"transverse ridges, red, swelling , pustular, erythematous papules, abscess"
Paronychia, paronychia_hand_extreme_red,"yellow, finger, pus, abscess, skin cracks, red, silvery white, nail"
Paronychia,paronychia_hand_mild_brown,"yellow, finger, nail, crusting, red"
Paronychia,paronychia_hand_moderate_brown ,"finger, nail, yellow, red, silvery white, crusting, abscess"
Paronychia,paronychia_hand_moderate_red,"finger, nail, red, crusting, skin cracks, abscess"
Paronychia,paronychia_legs_mild_brown ,"toes, nail, yellow, crusting, swelling"
Psoriasis,psoriasis_hand_moderate_brown,"red, erythematous papules, swelling, yellow, skin cracks, silvery white, pustular, abscess"
Psoriasis,psoriasis_face_moderate_red,"red, erythematous papules, swelling, scale, skin cracks, pustular, abscess"
Psoriasis,psoriasis_face_severe_red ,"erythematous papules, yellow, pus, abscess, silvery white, scale, red"
Psoriasis,psoriasis_hand_severe_red ,"red, swelling, pustular, abscess, yellow, skin cracks, silvery white, scale"
Psoriasis,psoriasis_legs_moderate_white,"red, swelling, scale, skin cracks, pus, abscess"
Psoriasis,psoriasis_legs_severe_red ,"red, swelling, erythematous papules, pus, abscess, skin cracks, scale, silvery white"
Psoriasis,psoriasis_torso_extreme_brown,"erythematous papules, red, swelling, pustular, abscess, silvery white, skin cracks"
Psoriasis,psoriasis_torso_severe_red ,"red, swelling, erythematous papules, scale, abscess, skin cracks"
Seborrheic Dermatitis,sd_face_extreme_brown,"erythematous papules, red, crusting, scaly plaques, skin cracks, abscess, yellow"
Seborrheic Dermatitis, sd_face_moderate_red,"erythematous papules, red, swelling, silvery white, pus, abscess, skin cracks"
Seborrheic Dermatitis,sd_hand_severe_red,"erythematous papules, red, fingers, yellow, pus, abscess, swelling, pustular, skin cracks"
Seborrheic Dermatitis,sd_legs_moderate_brown,"red, crusting, scale, skin cracks, abscess, toes"
Seborrheic Dermatitis,sd_torso_severe_red,"erythematous papules, red, skin cracks, abscess, scale"
Tinea, tinea_face_moderate_red,"red, erythematous papules, skin cracks, abscess, pus, scale"
Tinea,tinea_hand_extreme_red ,"fingers, nails, redness and swelling, abscess, pus, yellow"
Tinea,tinea_hand_moderate_white,"erythematous papules, red, swelling, scale, silvery white, skin cracks, abscess"
Tinea,tinea_legs_moderate_white,"red, erythematous papules, scale, silvery white, skin cracks, abscess"
Tinea,tinea_legs_severe_red ,"red, erythematous papules, swelling, abscess, skin cracks, scale"
Tinea,tinea_torso_moderate_brown,"red, abscess, yellow, silvery white, skin cracks, crusting"
Vitiligo,vitiligo_face_moderate_white,"red, silvery white, crusting, abscess, pus"
Vitiligo,vitiligo_hand_extreme_white ,"fingers, nails, silvery white, swelling, crusting"
Vitiligo,vitiligo_hand_severe_white ,"erythematous papules, yellow, red, silvery white, skin cracks"
Vitiligo,vitiligo_legs_extreme_white,"erythematous papules, red, swelling, abscess, yellow, skin cracks, silvery white"
Vitiligo,vitiligo_legs_mild_white,"yellow, skin cracks, silvery white, abscess, swelling, crusting"
Vitiligo, vitiligo_torso_moderate_white,"silvery white, transverse ridges, yellow, abscess, skin cracks"
